#Transit  t_c      1sigma_lower 1sigma_upper
#Number     (days)     (days)         (days)     
0	21.5523131438	0.000629	0.000384 
1	55.1728893405	0.000758	0.000739 
2	88.7952811376	0.000562	0.0004 	
3	122.418924701	0.000559	0.000774 
4	156.041707622	0.000619	0.000623 
5	189.669905447	0.000975	0.000898 
6	223.293933475	0.00079		0.000654 	
7	256.923266313	0.000856	0.00084 
8	290.550182491	0.000319	0.000548 
9	324.168450812	0.000524	0.000849 
10	357.788534159	0.000374	0.000499 
11	391.407056892	0.000406	0.000627 
12	425.027105064	0.000602	0.000454 
13	458.649125492	0.000805	0.000671 
14	492.272085472	0.000815	0.000871 
15	525.895441419	0.000733	0.00058 
16	559.522024235	0.000834	0.000946 
17	593.145545227	0.000628	0.000589 
18	626.777478433	0.000703	0.000679 
19	660.405076718	0.000474	0.000478 
20	694.025509307	0.000929	0.000471 
21	727.647086939	0.00042		0.000678 
22	761.264268301	0.000821	0.000723 
23	794.88325384	0.000627	0.000387 
24	828.503616346	0.000848	0.000932 
25	862.125003921	0.000836	0.000615 
26	895.747786618	0.000704	0.000706 
27	929.372362937	0.000932	0.000838 
28	962.995198016	0.000738	0.000887 
29	996.625070414	0.000635	0.000691 
